Age,P5,P85,P95
2.0,14.39787089,18.01820579,19.10623522
3.0,14.01612704,17.190987970000002,18.276296285
4.0,13.72493869,16.808316545,18.028476475
5.0,13.527134839999999,16.795767464999997,18.24046499
6.0,13.427891815,17.082525359999998,18.808032605
7.0,13.430525840000001,17.600085095,19.639008134999997
8.0,13.53413549,18.28588991,20.65040041
9.0,13.733902005000001,19.084446895,21.769291574999997
10.0,14.021674635,19.947305285,22.93384117
11.0,14.3862961,20.832965915000003,24.09375682
12.0,14.81373024,21.706866185000003,25.210429975
13.0,15.28707131,22.54141755,26.25691131
14.0,15.78648296,23.31607197,27.217813579999998
15.0,16.28907849,24.017438505,28.08918668
16.0,16.76876147,24.63946566,28.878412609999998
17.0,17.1960749,25.183667445,29.604204314999997
18.0,17.538165675000002,25.659269055000003,30.296830075000003
19.0,17.759003215,26.08305014,30.99864765
20.0,17.82009046,26.47871966,31.76474311
21.0,18.5,25.0,30.0
22.0,18.5,25.0,30.0
23.0,18.5,25.0,30.0
24.0,18.5,25.0,30.0
25.0,18.5,25.0,30.0
26.0,18.5,25.0,30.0
27.0,18.5,25.0,30.0
28.0,18.5,25.0,30.0
29.0,18.5,25.0,30.0
30.0,18.5,25.0,30.0
31.0,18.5,25.0,30.0
32.0,18.5,25.0,30.0
33.0,18.5,25.0,30.0
34.0,18.5,25.0,30.0
35.0,18.5,25.0,30.0
36.0,18.5,25.0,30.0
37.0,18.5,25.0,30.0
38.0,18.5,25.0,30.0
39.0,18.5,25.0,30.0
40.0,18.5,25.0,30.0
41.0,18.5,25.0,30.0
42.0,18.5,25.0,30.0
43.0,18.5,25.0,30.0
44.0,18.5,25.0,30.0
45.0,18.5,25.0,30.0
46.0,18.5,25.0,30.0
47.0,18.5,25.0,30.0
48.0,18.5,25.0,30.0
49.0,18.5,25.0,30.0
50.0,18.5,25.0,30.0
51.0,18.5,25.0,30.0
52.0,18.5,25.0,30.0
53.0,18.5,25.0,30.0
54.0,18.5,25.0,30.0
55.0,18.5,25.0,30.0
56.0,18.5,25.0,30.0
57.0,18.5,25.0,30.0
58.0,18.5,25.0,30.0
59.0,18.5,25.0,30.0
60.0,18.5,25.0,30.0
61.0,18.5,25.0,30.0
62.0,18.5,25.0,30.0
63.0,18.5,25.0,30.0
64.0,18.5,25.0,30.0
65.0,18.5,25.0,30.0
66.0,18.5,25.0,30.0
67.0,18.5,25.0,30.0
68.0,18.5,25.0,30.0
69.0,18.5,25.0,30.0
70.0,18.5,25.0,30.0
71.0,18.5,25.0,30.0
72.0,18.5,25.0,30.0
73.0,18.5,25.0,30.0
74.0,18.5,25.0,30.0
75.0,18.5,25.0,30.0
76.0,18.5,25.0,30.0
77.0,18.5,25.0,30.0
78.0,18.5,25.0,30.0
79.0,18.5,25.0,30.0
80.0,18.5,25.0,30.0
81.0,18.5,25.0,30.0
82.0,18.5,25.0,30.0
83.0,18.5,25.0,30.0
84.0,18.5,25.0,30.0
85.0,18.5,25.0,30.0
86.0,18.5,25.0,30.0
87.0,18.5,25.0,30.0
88.0,18.5,25.0,30.0
89.0,18.5,25.0,30.0
90.0,18.5,25.0,30.0
91.0,18.5,25.0,30.0
92.0,18.5,25.0,30.0
93.0,18.5,25.0,30.0
94.0,18.5,25.0,30.0
95.0,18.5,25.0,30.0
96.0,18.5,25.0,30.0
97.0,18.5,25.0,30.0
98.0,18.5,25.0,30.0
99.0,18.5,25.0,30.0
