Age,P5,P85,P95
2.0,14.73731947,18.16219473,19.33801062
3.0,14.34309206,17.351330165,18.268684944999997
4.0,14.043309879999999,16.935171214999997,17.84231926
5.0,13.84481556,16.839025550000002,17.92666209
6.0,13.73884043,17.002568895,18.388731635
7.0,13.720068865,17.381567305,19.11768077
8.0,13.79088962,17.93002023,20.027301985
9.0,13.95344124,18.602219220000002,21.045156145
10.0,14.206297724999999,19.35769175,22.109514875000002
11.0,14.54426227,20.16251437,23.170046295
12.0,14.95873571,20.989269389999997,24.18867599
13.0,15.438051365,21.81677954,25.140086189999998
14.0,15.967757555,22.62982671,26.011983225
15.0,16.530907329999998,23.418869755000003,26.805309215
16.0,17.108420234999997,24.179756825,27.534534594999997
17.0,17.679487815,24.91353948,28.228062205
18.0,18.22181459,25.626586695,28.928546705
19.0,18.711262310000002,26.331123275000003,29.692656475
20.0,19.12055111,27.04606818,30.58964285
21.0,18.5,25.0,30.0
22.0,18.5,25.0,30.0
23.0,18.5,25.0,30.0
24.0,18.5,25.0,30.0
25.0,18.5,25.0,30.0
26.0,18.5,25.0,30.0
27.0,18.5,25.0,30.0
28.0,18.5,25.0,30.0
29.0,18.5,25.0,30.0
30.0,18.5,25.0,30.0
31.0,18.5,25.0,30.0
32.0,18.5,25.0,30.0
33.0,18.5,25.0,30.0
34.0,18.5,25.0,30.0
35.0,18.5,25.0,30.0
36.0,18.5,25.0,30.0
37.0,18.5,25.0,30.0
38.0,18.5,25.0,30.0
39.0,18.5,25.0,30.0
40.0,18.5,25.0,30.0
41.0,18.5,25.0,30.0
42.0,18.5,25.0,30.0
43.0,18.5,25.0,30.0
44.0,18.5,25.0,30.0
45.0,18.5,25.0,30.0
46.0,18.5,25.0,30.0
47.0,18.5,25.0,30.0
48.0,18.5,25.0,30.0
49.0,18.5,25.0,30.0
50.0,18.5,25.0,30.0
51.0,18.5,25.0,30.0
52.0,18.5,25.0,30.0
53.0,18.5,25.0,30.0
54.0,18.5,25.0,30.0
55.0,18.5,25.0,30.0
56.0,18.5,25.0,30.0
57.0,18.5,25.0,30.0
58.0,18.5,25.0,30.0
59.0,18.5,25.0,30.0
60.0,18.5,25.0,30.0
61.0,18.5,25.0,30.0
62.0,18.5,25.0,30.0
63.0,18.5,25.0,30.0
64.0,18.5,25.0,30.0
65.0,18.5,25.0,30.0
66.0,18.5,25.0,30.0
67.0,18.5,25.0,30.0
68.0,18.5,25.0,30.0
69.0,18.5,25.0,30.0
70.0,18.5,25.0,30.0
71.0,18.5,25.0,30.0
72.0,18.5,25.0,30.0
73.0,18.5,25.0,30.0
74.0,18.5,25.0,30.0
75.0,18.5,25.0,30.0
76.0,18.5,25.0,30.0
77.0,18.5,25.0,30.0
78.0,18.5,25.0,30.0
79.0,18.5,25.0,30.0
80.0,18.5,25.0,30.0
81.0,18.5,25.0,30.0
82.0,18.5,25.0,30.0
83.0,18.5,25.0,30.0
84.0,18.5,25.0,30.0
85.0,18.5,25.0,30.0
86.0,18.5,25.0,30.0
87.0,18.5,25.0,30.0
88.0,18.5,25.0,30.0
89.0,18.5,25.0,30.0
90.0,18.5,25.0,30.0
91.0,18.5,25.0,30.0
92.0,18.5,25.0,30.0
93.0,18.5,25.0,30.0
94.0,18.5,25.0,30.0
95.0,18.5,25.0,30.0
96.0,18.5,25.0,30.0
97.0,18.5,25.0,30.0
98.0,18.5,25.0,30.0
99.0,18.5,25.0,30.0
